episode,step,epsilon,reward,loss
13250,537759,0.5430,0.84,0.2425
13300,541079,0.5400,1.12,0.2938
13350,545035,0.5365,1.46,0.3681
13400,548869,0.5330,1.36,0.3833
13450,551939,0.5303,1.02,0.3113
13500,555448,0.5271,1.26,0.3831
13550,559385,0.5236,1.44,0.4078
13600,563573,0.5198,1.56,0.4104
13650,567576,0.5162,1.52,0.4131
13700,571347,0.5128,1.40,0.4409
13750,575614,0.5089,1.72,0.5106
13800,579525,0.5054,1.44,0.4889
13850,583548,0.5018,1.50,0.4944
13900,587905,0.4979,1.62,0.5651
13950,592184,0.4940,1.68,0.6172
14000,596122,0.4905,1.48,0.5898
14050,600092,0.4869,1.52,0.5811
14100,604116,0.4833,1.62,0.6561
14150,608343,0.4795,1.68,0.7237
14200,612413,0.4758,1.64,0.7968
14250,616617,0.4720,1.62,0.7999
14300,621137,0.4680,1.80,0.8291
14350,625604,0.4640,1.74,0.8365
14400,630027,0.4600,1.68,0.7893
14450,634256,0.4562,1.60,0.7569
14500,638603,0.4523,1.76,0.9515
14550,642755,0.4485,1.74,0.9793
14600,647482,0.4443,1.86,0.9687
14650,652375,0.4399,2.10,1.1505
14700,656669,0.4360,1.70,1.1188
14750,660712,0.4324,1.56,1.1070
14800,664735,0.4287,1.54,1.0115
14850,669714,0.4243,2.02,1.3602
14900,674559,0.4199,1.88,1.3650
14950,679787,0.4152,2.22,1.5155
15000,684398,0.4110,1.92,1.4086
15050,689333,0.4066,1.96,1.6005
15100,694738,0.4017,2.32,1.8803
15150,699354,0.3976,1.98,1.5366
15200,703666,0.3937,1.58,1.5759
15250,707914,0.3899,1.66,1.4003
15300,713268,0.3851,2.34,1.7828
15350,717964,0.3808,1.80,1.4556
15400,723573,0.3758,2.50,1.8122
15450,728706,0.3712,2.18,1.6234
15500,733340,0.3670,1.98,1.4230
15550,738196,0.3626,2.06,1.4528
15600,743410,0.3579,2.18,1.5181
15650,749001,0.3529,2.64,1.7450
15700,755343,0.3472,2.74,2.1634
15750,760273,0.3428,2.10,1.7012
15800,766702,0.3370,2.98,2.2034
